"Código (SKU)";"Descrição";"Estoque físico"
"RF20Y1150";"RETROV EXT  CAMINHAO FORD";"0,00"
"RF20Y1250";"RETROV EXT XT  CAMINHAO FORD";"0,00"
"RF20Y1400";"RETROV EXT  CAMINHAO FORD";"0,00"
"RF20Y4550";"RETROV EXT  CE C/FOLDWAY E SIDE";"0,00"
"RF4M69";"LENTE RETROV ESCORT 84/96 LE";"0,00"
"RF5E77FX";"RETROV EXT  ESCORT 87/92 LE FIXO";"0,00"
"RF7M46";"LENTE RETROV F1000 85/92 LD";"0,00"
"RF7M81";"LENTE RETROV CORCEL LE";"389,00"
"RF8E41FX";"RETROV EXT FIXO PAMPA  84>97 ( REVERSÍVEL ) LE/LD";"0,00"
"RF8E90CR";"RETROV EXT VERSAILLES 91> LD CR";"0,00"
"RF8E91CR";"RETROV EXT VERSAILLES LE CR";"0,00"
"RFAC6CE";"RETROV EXT RANGER 14> LD CE C/PISCA CROMO";"5,00"
"RFAC7CE";"RETROV EXT RANGER 14> LE CE C/PISCA CROMO";"0,00"
"RFAE28CE";"RETROV. EXTERNO C/ELETR PICK-UP F-1000 LD 93>";"0,00"
"RFAE29CE";"RETROV. EXTERNO C/ELETR PICK-UP F-1000 LE 93>";"0,00"
"RFAE40FX";"RETROV EXT FIXO PICK-UP F1000 LD 93>";"0,00"
"RFAE41FX";"RETROV EXT FIXO PICK-UP F1000 LE 93>";"0,00"
"RFGE21CR";"RETROV EXT C/REM FIESTA STREET/ SEDAN LE 96>99";"0,00"
"RFGE22CR";"RETROV EXT C/REM FIESTA STREET/ SEDAN LD 96>99";"0,00"
"RFGE71FX";"RETROV EXT FIXO FIESTA STREET/SEDAN LE 96>99";"0,00"
"RFGE74CC";"RETROV EXT  CARGO 814/815 LD CONJ COMPL";"0,00"
"RFGE75CC";"RETROV EXT  CARGO 814/815 LE CONJ COMPL";"0,00"
"RFGM36HE";"LENTE RETROV ESCORT ZETEC 97> LD C/AQUEC";"0,00"
"RFHC21";"CAPA RETROV F250 LE TEXTURIZADA";"0,00"
"RFHC22";"CAPA RETROV F250 LD TEXTURIZADA";"0,00"
"RFHE08FX";"RETROV EXT FIXO FIESTA STREET/SEDAN LD 96>99";"0,00"
"RFHE15CC";"RETROV EXT  CARGO 97> LE CONJ COMPL";"0,00"
"RFHE16CC";"RETROV EXT  CARGO 97> LD CONJ COMPL";"0,00"
"RFHE21FX";"RETROV EXT FIXO PICK-UP F-250 LE 98>";"0,00"
"RFHE22FX";"RETROV EXT FIXO PICK-UP F-250 LD 98>";"0,00"
"RFHE23CE";"RETROV EXT C/ELETR PICK-UP F-250 LE 98>";"0,00"
"RFHE24CE";"RETROV EXT C/ELETR PICK-UP F-250 LD 98>";"0,00"
"RFHE25CC";"RETROV. EXT FORD F350 98> LE CONJ COMPL";"0,00"
